hadis
Siapa yang curang bukan golongan kami
Siapa merampas milik orang lain bukan golongan kami
Surga itu berada di bawah telapak kaki ibu
Tidak akan datang kiamat selama masih ada yang mengucap Allah Allah
Doa adalah senjata orang beriman
Laknat Rasulullah kepada orang yang menyogok dan disogok
Ridha Allah terletak di dalam ridha orang tua
Tidak akan masuk surga orang yang suka menipu, pelit dan mengungkit pemberian
Doa adalah inti ibadah
Berkata yang baik adalah sedekah
Seseorang akan bersama siapa yang dicintainya
Tidak akan masuk surga pemutus tali persaudaraan
Takutlah kepada Allah dimana saja kamu berada
Sebaik-baik orang di antara kamu adalah orang yang belajar Al Quran dan mengajarkannya
Mencaci seorang muslim adalah dosa dan memeranginya adalah kufur
Siapa menutupi aib seorang muslim maka Allah akan menutupi aibnya pada hari kiamat
Tidak disayang Allah orang yang tidak sayang kepada manusia
Orang yang mengajak kebaikan mendapat pahala yang sama dengan orang yang diajaknya
Tempat yang dicintai Allah dimuka bumi adalah masjid-masjidnya
Tangan di atas lebih baik daripada tangan di bawah
Dunia adalah penjara bagi orang beriman dan surga bagi orang kafir
Barang siapa yang menyerupai suatu kaum maka ia akan digolongkan sebagai kaum tersebut
Barang siapa menakut-nakuti dengan senjata kepada kami maka bukan golongan kami
Sampaikanlah dariku walau satu ayat
Tidak masuk surga orang yang tetangganya tidak merasa aman dari gangguannya
Barang siapa membangun masjid karena Allah maka Allah akn bangunkan rumah baginya di dalam surga
Barang siapa yang menghibur orang yang  tertimpa musibah maka baginya pahala seperti orang yang tertimpa musibah
Kehati-hatian datangnya dari Allah dan ketergesa-gesaan datangnya dari setan
Orang yang beriman tidak akan tersengat dua kali di lubang yang sama
Tidur di waktu pagi menjadi penghalang rizki
Barang siapa yang menyerupai suatu kaum maka dia termasuk bagian dari mereka
Berbagi hadiahlah kalian niscaya kalian akan saling mencintai
Barang siapa yang melakukan sebuah amal perbuatan yang tidak ada contohnya maka amal perbuatan tersebut tertolak
Sesungguhnya setiap amal itu tergantung pada niatnya, dan seseorang itu akan mendapatkan sesuai apa yang dia niatkan
Tinggalkan apa yang engkau ragukan dan kerjakan apa yang engkau tidak ragu
Setiap umatku doasanya akan dimaafkan kecuali orang yang berbuat dosa secara terang-terangan
Barang siapa yang meniti jalan  unutk mencari ilmu, maka Allah akan memudahkan untuknya jalan menuju Surga
Barang siapa yang beriman kepada Allah dan hari Akhir maka hendaknya dia berkata yang baik atau diam
Diantara tanda kebaikan keislaman seseorang adalah dia meninggalkan perkara-perkara yang tidak bermanfaat bagi dirinya
Barang siapa yang menunjuki kepada kebaikan maka dia akan mendapatkan pahala seperti oarang yang mengerjakannya
